episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,25,0,5,-255,0,1
0,0,0,0,0,0,0,0
1,18,5,0,1,-30.0,0,0
2,32,8,0,1,-5.0,0,0
3,24,3,1,0,7.0,0,0
4,28,4,1,0,-6.0,0,0
5,18,6,0,1,-6.0,0,0
6,13,3,0,1,-7.0,0,0
7,21,3,1,0,43.0,0,0
8,13,3,0,1,-7.0,0,0
9,17,5,1,0,-4.0,0,0
10,7,5,0,1,-41.0,0,0
11,17,3,1,0,14.0,0,0
12,27,9,0,1,-20.0,0,0
13,8,1,0,1,5.0,0,0
14,22,7,0,1,3.0,0,0
15,18,0,1,0,73.0,0,0
16,21,2,0,1,16.0,0,0
17,14,4,0,1,-6.0,0,0
18,31,5,1,0,15.0,0,0
19,30,6,0,1,15.0,0,0
20,34,9,1,0,20.0,0,0
21,13,0,1,0,45.0,0,0
22,20,3,1,0,0.0,0,0
23,33,6,0,1,23.0,0,0
24,17,5,0,1,-29.0,0,0
25,21,6,1,0,-17.0,0,0
26,9,2,0,1,-16.0,0,0
27,21,9,0,1,-47.0,0,0
28,28,8,1,0,2.0,0,0
29,7,1,0,1,-5.0,0,0
30,8,2,0,1,-4.0,0,0
31,8,2,0,1,-15.0,0,0
32,13,5,0,1,-36.0,0,0
33,6,2,0,1,-24.0,0,0
34,35,3,1,0,29.0,0,0
35,20,8,0,1,-48.0,0,0
36,22,5,1,0,-9.0,0,0
37,17,3,1,0,14.0,0,0
38,15,1,1,0,23.0,0,0
39,30,6,1,0,7.0,0,0
40,14,2,1,0,26.0,0,0
41,19,3,1,0,12.0,0,0
42,16,4,1,0,-5.0,0,0
43,25,3,1,0,50.0,0,0
44,19,2,0,1,7.0,0,0
45,25,8,1,0,-39.0,0,0
46,16,4,1,0,-5.0,0,0
47,21,5,1,0,-8.0,0,0
48,23,4,0,1,29.0,0,0
49,6,3,0,1,-33.0,0,0
50,25,25,0,5,-255,0,1
50,6,3,0,1,-33.0,0,0
51,20,4,1,0,-9.0,0,0
52,14,3,0,1,-19.0,0,0
53,12,2,0,1,3.0,0,0
54,21,5,0,1,0.0,0,0
55,20,4,1,1,2.0,0,0
56,17,3,1,0,3.0,0,0
57,12,3,0,1,-6.0,0,0
58,14,1,0,1,10.0,0,0
59,17,1,0,1,18.0,0,0
60,16,6,0,1,-37.0,0,0
61,6,1,0,1,-15.0,0,0
62,16,3,1,0,4.0,0,0
63,15,2,0,1,11.0,0,0
64,9,4,0,1,-23.0,0,0
65,21,2,1,0,8.0,0,0
66,15,1,1,0,34.0,0,0
67,36,9,1,0,29.0,0,0
68,19,7,0,1,-27.0,0,0
69,15,1,1,0,23.0,0,0
70,39,9,1,0,15.0,0,0
71,19,3,1,0,1.0,0,0
72,27,8,0,1,-22.0,0,0
73,12,3,0,1,-6.0,0,0
74,10,5,0,1,-33.0,0,0
75,13,1,1,0,36.0,0,0
76,9,2,0,1,-16.0,0,0
77,11,2,0,1,-7.0,0,0
78,42,16,1,0,-51.0,0,0
79,31,7,1,0,8.0,0,0
80,26,6,0,1,-14.0,0,0
81,11,2,0,1,-7.0,59.101184368133545,0
82,8,1,0,1,5.0,79.99990284442902,0
83,19,6,0,1,-7.0,108.40621227025986,0
84,7,2,0,1,-14.0,121.36296147108078,0
85,20,2,0,1,6.0,153.84701615571976,0
86,31,5,1,0,70.0,186.86639255285263,0
87,38,8,1,0,36.0,218.11375308036804,0
88,51,12,1,0,64.0,256.3054410517216,0
89,16,4,1,0,-5.0,267.3094615638256,0
90,29,7,1,0,-1.0,288.1735089048743,0
91,21,2,1,0,19.0,300.5635696426034,0
92,13,1,1,0,36.0,310.0393470302224,0
93,42,5,0,1,67.0,336.7249859571457,0
94,16,2,1,0,13.0,346.21124579012394,0
95,18,2,1,0,11.0,358.85729993879795,0
96,9,2,0,1,-5.0,366.19578905403614,0
97,8,2,0,1,-15.0,371.0878905057907,0
98,37,5,1,0,64.0,397.01444098353386,0
99,13,0,1,0,34.0,405.63529021292925,0
100,62,0,5,0,520,0,1
100,20,4,1,0,35.0,417.50096698105335,0
101,13,1,1,0,36.0,425.054142691195,0
102,32,8,1,0,42.0,444.95809365063906,0
103,21,4,1,0,34.0,456.2724954485893,0
104,21,3,1,0,43.0,470.1258978396654,0
105,33,7,1,0,83.0,491.60945458710194,0
106,25,6,0,1,-2.0,507.3284262791276,0
107,25,3,1,0,83.0,524.1896132901311,0
108,10,1,1,0,39.0,530.1984793618321,0
