episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,25,0,5,-255,0,1
0,0,0,0,0,0,0,0
1,17,4,0,1,13.0,0,0
2,35,5,1,0,55.0,0,0
3,9,2,0,1,-5.0,0,0
4,29,7,0,1,-4.0,0,0
5,25,4,1,0,41.0,0,0
6,19,7,1,0,-35.0,0,0
7,23,3,1,0,41.0,0,0
8,6,0,0,1,-6.0,0,0
9,24,4,1,0,-2.0,0,0
10,12,2,0,1,-19.0,0,0
11,18,4,1,0,-7.0,0,0
12,17,3,1,0,3.0,0,0
13,15,1,1,0,23.0,0,0
14,27,12,0,1,-47.0,0,0
15,25,4,0,1,5.0,0,0
16,15,2,1,0,14.0,0,0
17,20,0,1,0,71.0,0,0
18,18,2,1,0,11.0,0,0
19,21,2,0,1,27.0,0,0
20,9,3,0,1,-3.0,0,0
21,6,1,0,1,-15.0,0,0
22,47,11,1,0,44.0,0,0
23,12,1,0,1,23.0,0,0
24,7,2,0,1,-14.0,0,0
25,15,0,1,0,32.0,0,0
26,28,5,0,1,-18.0,0,0
27,18,1,1,0,20.0,0,0
28,18,3,1,0,2.0,0,0
29,6,2,0,1,-24.0,0,0
30,22,1,1,0,16.0,0,0
31,7,4,0,1,-32.0,0,0
32,23,6,1,0,-30.0,0,0
33,18,2,1,0,55.0,0,0
34,29,9,1,0,-8.0,0,0
35,8,0,0,1,3.0,0,0
36,11,0,1,0,47.0,0,0
37,22,4,0,1,-25.0,0,0
38,12,4,0,1,-15.0,0,0
39,12,2,0,1,-8.0,0,0
40,6,3,0,1,-33.0,0,0
41,14,1,1,0,35.0,0,0
42,15,6,0,1,-25.0,0,0
43,17,3,1,0,3.0,0,0
44,21,5,0,1,0.0,0,0
45,14,2,1,0,15.0,0,0
46,12,7,0,1,-64.0,0,0
47,18,2,1,0,22.0,0,0
48,9,1,1,0,29.0,0,0
49,22,6,1,0,-18.0,0,0
50,45,21,2,3,-35,0,1
50,30,9,0,1,-1.0,0,0
51,6,0,0,1,-6.0,0,0
52,16,3,1,0,4.0,0,0
53,30,8,1,0,-11.0,0,0
54,9,2,0,1,6.0,0,0
55,9,2,0,1,-5.0,0,0
56,6,1,0,1,-15.0,0,0
57,6,0,0,1,-6.0,0,0
58,23,1,1,0,114.0,0,0
59,10,1,0,1,25.0,0,0
60,12,1,0,1,23.0,0,0
61,12,1,0,1,-10.0,0,0
62,12,2,0,1,-19.0,0,0
63,9,3,0,1,-25.0,0,0
64,6,1,0,1,-15.0,0,0
65,15,1,1,0,23.0,0,0
66,6,3,0,1,-33.0,0,0
67,23,4,1,0,-1.0,0,0
68,26,9,1,0,-49.0,0,0
69,10,1,0,1,3.0,0,0
70,10,1,0,1,3.0,0,0
71,8,1,0,1,-6.0,0,0
72,24,5,1,0,22.0,0,0
73,16,3,1,0,4.0,0,0
74,11,3,0,1,-16.0,0,0
75,13,1,1,0,25.0,0,0
76,16,2,1,0,13.0,0,0
77,14,4,0,1,-28.0,0,0
78,15,2,1,0,14.0,0,0
79,21,7,1,0,-37.0,0,0
80,15,2,0,1,0.0,0,0
81,18,3,0,1,-1.0,0,0
82,43,7,1,0,40.0,0,0
83,25,6,1,0,-32.0,0,0
84,21,1,1,0,28.0,0,0
85,10,1,0,1,14.0,0,0
86,34,8,1,0,-15.0,0,0
87,12,1,1,0,26.0,0,0
88,20,4,1,0,-9.0,0,0
89,24,8,0,1,-41.0,0,0
90,23,1,1,0,70.0,102.77714347839355,0
91,6,2,0,1,-24.0,115.22230303287506,0
92,12,0,1,0,35.0,137.41864812374115,0
93,14,2,1,0,15.0,154.31837558746338,0
94,13,3,1,0,7.0,170.1347422003746,0
95,13,1,1,0,25.0,187.70787954330444,0
96,49,15,1,0,39.0,243.8875000178814,0
97,26,5,1,0,20.0,272.3327306807041,0
98,20,3,1,0,11.0,298.03589299321175,0
99,32,6,0,1,13.0,327.7503153383732,0
100,62,0,5,0,520,0,1
100,16,6,1,0,-23.0,341.88992589712143,0
101,42,7,0,1,71.0,378.25200383365154,0
102,22,2,1,0,62.0,397.0701026171446,0
103,40,9,0,1,77.0,435.0719312429428,0
104,18,4,1,0,-7.0,449.9452182352543,0
105,16,5,0,1,-17.0,463.056170552969,0
106,52,6,0,1,136.0,503.8820122182369,0
107,23,0,1,0,112.0,521.9263655692339,0
108,15,1,1,0,23.0,535.3331304937601,0
109,25,1,1,0,101.0,558.3501799851656,0
110,7,0,0,1,4.0,564.7077391892672,0
