episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,25,0,5,-255,0,1
0,0,0,0,0,0,0,0
1,32,5,1,0,69.0,0,0
2,13,1,1,0,25.0,0,0
3,21,5,0,1,-11.0,0,0
4,20,2,1,0,9.0,0,0
5,20,2,1,0,9.0,0,0
6,19,5,1,0,-17.0,0,0
7,6,3,0,1,-33.0,0,0
8,49,9,1,0,93.0,0,0
9,6,0,0,1,-6.0,0,0
10,18,6,1,0,-25.0,0,0
11,13,1,1,0,25.0,0,0
12,6,1,0,1,-15.0,0,0
13,17,4,0,1,13.0,0,0
14,20,4,1,0,2.0,0,0
15,19,4,0,1,-11.0,0,0
16,39,13,1,0,-54.0,0,0
17,21,3,1,0,10.0,0,0
18,17,7,0,1,-47.0,0,0
19,6,1,0,1,-15.0,0,0
20,28,4,0,1,68.0,0,0
21,17,3,1,0,14.0,0,0
22,13,5,0,1,-36.0,0,0
23,26,4,1,0,40.0,0,0
24,23,4,1,0,32.0,0,0
25,30,8,1,0,0.0,0,0
26,12,2,0,1,3.0,0,0
27,26,5,1,0,20.0,0,0
28,21,1,1,0,28.0,0,0
29,16,2,1,0,13.0,0,0
30,15,5,0,1,-27.0,0,0
31,8,2,0,1,-4.0,0,0
32,13,1,0,1,33.0,0,0
33,25,7,1,0,3.0,0,0
34,22,3,1,0,53.0,0,0
35,17,5,0,1,4.0,0,0
36,15,2,1,0,14.0,0,0
37,13,3,0,1,-7.0,0,0
38,16,0,1,0,31.0,0,0
39,17,3,0,1,0.0,0,0
40,26,3,1,0,38.0,0,0
41,21,3,1,0,43.0,0,0
42,20,2,1,0,20.0,0,0
43,22,2,0,1,26.0,0,0
44,6,1,0,1,-15.0,0,0
45,23,1,1,0,59.0,0,0
46,10,1,1,0,28.0,0,0
47,16,1,1,0,33.0,0,0
48,22,5,0,1,-1.0,0,0
49,6,1,0,1,-15.0,0,0
50,25,25,0,5,-255,0,1
50,15,4,0,1,-7.0,0,0
51,23,4,1,0,43.0,0,0
52,17,2,0,1,31.0,0,0
53,18,4,1,0,4.0,0,0
54,13,3,1,0,7.0,0,0
55,6,1,0,1,-15.0,0,0
56,15,5,0,1,-27.0,0,0
57,9,1,1,0,29.0,0,0
58,8,0,0,1,3.0,0,0
59,17,3,1,0,3.0,0,0
60,25,11,0,1,-25.0,0,0
61,16,2,1,0,24.0,0,0
62,6,2,0,1,-24.0,0,0
63,11,3,0,1,-5.0,0,0
64,7,1,0,1,-5.0,0,0
65,20,3,0,1,19.0,0,0
66,29,7,1,0,43.0,0,0
67,9,0,1,0,38.0,0,0
68,19,3,1,0,1.0,0,0
69,14,3,0,1,-19.0,0,0
70,54,9,1,0,44.0,0,0
71,20,2,1,0,20.0,0,0
72,31,3,1,0,77.0,0,0
73,19,5,1,0,-17.0,0,0
74,42,11,1,0,5.0,0,0
75,19,5,0,1,-9.0,0,0
76,48,8,0,1,89.0,0,0
77,16,2,1,0,24.0,0,0
78,6,1,0,1,-15.0,0,0
79,12,3,0,1,-6.0,0,0
80,18,1,1,0,20.0,0,0
81,14,2,0,1,1.0,29.55596160888672,0
82,14,2,1,0,15.0,86.44996571540833,0
83,10,3,0,1,-4.0,108.51502001285553,0
84,8,3,0,1,-13.0,122.42097508907318,0
85,14,3,0,1,3.0,148.19868099689484,0
86,18,4,0,1,12.0,174.33404779434204,0
87,38,8,0,1,33.0,218.69480806589127,0
88,15,2,1,0,14.0,234.8074054121971,0
89,13,1,1,0,25.0,246.58416977524757,0
90,64,10,1,0,157.0,307.5259807109833,0
91,39,6,0,1,39.0,343.65656793117523,0
92,10,0,1,0,37.0,352.15040972828865,0
93,15,1,1,0,23.0,366.6178342998028,0
94,19,0,1,0,116.0,382.77759301662445,0
95,14,1,1,0,35.0,393.88895031809807,0
96,19,4,1,0,-8.0,414.04070433974266,0
97,30,8,0,1,-3.0,436.3271109908819,0
98,16,1,1,0,22.0,448.6131367534399,0
99,16,1,1,0,33.0,461.39238803088665,0
100,62,0,5,0,520,0,1
100,25,7,1,0,3.0,480.815361186862,0
101,18,0,1,0,40.0,496.8550537675619,0
102,30,4,1,0,69.0,523.785814166069,0
103,13,3,0,1,-7.0,533.7956722974777,0
104,30,7,1,0,53.0,557.613714247942,0
105,40,4,0,1,155.0,591.7852302864194,0
106,11,2,0,1,15.0,601.4083024635911,0
107,26,5,1,0,31.0,619.5306547805667,0
108,18,2,1,0,11.0,633.2362375184894,0
109,15,1,1,0,34.0,645.6515899524093,0
