episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,79,12,4,1,326,0,1
0,0,0,0,0,0,0,0
1,30,4,1,0,69.0,0,0
2,6,1,0,1,-15.0,0,0
3,28,5,0,1,37.0,0,0
4,14,2,0,1,23.0,0,0
5,11,8,0,1,-61.0,0,0
6,31,5,1,0,26.0,0,0
7,12,1,1,0,37.0,0,0
8,18,1,1,0,31.0,0,0
9,17,1,1,0,32.0,0,0
10,16,3,1,0,4.0,0,0
11,6,1,0,1,-15.0,0,0
12,6,3,0,1,-33.0,0,0
13,12,2,0,1,14.0,0,0
14,6,3,0,1,-33.0,0,0
15,6,3,0,1,-33.0,0,0
16,9,5,0,1,-43.0,0,0
17,16,6,0,1,-37.0,0,0
18,11,2,0,1,4.0,0,0
19,12,1,1,0,26.0,0,0
20,41,13,1,0,-12.0,0,0
21,45,10,0,1,63.0,0,0
22,13,3,1,0,7.0,0,0
23,20,6,1,0,-16.0,0,0
24,50,7,1,0,77.0,0,0
25,37,12,1,0,-54.0,0,0
26,23,2,1,0,50.0,0,0
27,10,3,0,1,-15.0,0,0
28,28,8,1,0,-42.0,0,0
29,21,7,1,0,-37.0,0,0
30,19,4,1,0,3.0,0,0
31,18,2,0,1,30.0,0,0
32,26,6,0,1,8.0,0,0
33,17,5,0,1,-29.0,0,0
34,17,5,1,0,-15.0,0,0
35,30,10,1,0,-73.0,0,0
36,26,1,1,0,100.0,0,0
37,18,0,0,1,48.0,0,0
38,12,5,0,1,-35.0,0,0
39,12,2,0,1,-19.0,0,0
40,24,6,0,1,-12.0,0,0
41,12,2,1,0,17.0,0,0
42,9,3,0,1,-25.0,0,0
43,29,6,1,0,19.0,0,0
44,26,4,1,0,-15.0,0,0
45,32,8,1,0,42.0,0,0
46,29,11,0,1,-18.0,0,0
47,14,2,0,1,1.0,0,0
48,22,6,1,0,-29.0,0,0
49,11,3,0,1,-5.0,0,0
50,62,0,5,0,520,0,1
50,6,3,0,1,-33.0,0,0
51,6,1,0,1,-15.0,0,0
52,17,4,1,0,5.0,0,0
53,15,4,0,1,-7.0,0,0
54,16,2,1,0,13.0,0,0
55,30,8,1,0,33.0,0,0
56,43,8,1,0,31.0,0,0
57,16,3,0,1,-10.0,0,0
