episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,25,0,5,-255,0,1
0,0,0,0,0,0,0,0
1,18,5,0,1,-30.0,0,0
2,36,10,0,1,-16.0,0,0
3,34,3,1,0,30.0,0,0
4,32,9,0,1,-14.0,0,0
5,13,3,0,1,-7.0,0,0
6,22,5,1,0,35.0,0,0
7,12,4,0,1,-15.0,0,0
8,24,11,0,1,-57.0,0,0
9,15,3,1,0,5.0,0,0
10,28,9,0,1,-10.0,0,0
11,16,2,0,1,21.0,0,0
12,15,6,0,1,-3.0,0,0
13,13,0,1,0,34.0,0,0
14,26,3,0,1,46.0,0,0
15,14,4,0,1,-6.0,0,0
16,22,4,1,0,-11.0,0,0
17,15,3,1,0,5.0,0,0
18,18,1,1,0,20.0,0,0
19,6,3,0,1,-33.0,0,0
20,34,9,1,0,20.0,0,0
21,16,1,1,0,22.0,0,0
22,20,3,1,0,0.0,0,0
23,19,3,1,0,1.0,0,0
24,13,1,0,1,11.0,0,0
25,15,4,0,1,-7.0,0,0
26,21,6,1,0,-17.0,0,0
27,9,2,0,1,-16.0,0,0
28,20,10,0,1,-55.0,0,0
29,29,7,1,0,-1.0,0,0
30,6,1,0,1,-15.0,0,0
31,16,3,0,1,1.0,0,0
32,16,6,0,1,-37.0,0,0
33,6,1,0,1,-15.0,0,0
34,34,2,1,0,50.0,0,0
35,18,5,0,1,-8.0,0,0
36,21,5,1,0,-19.0,0,0
37,18,4,1,0,4.0,0,0
38,15,1,1,0,23.0,0,0
39,34,9,1,0,-13.0,0,0
40,10,0,1,0,48.0,0,0
41,26,4,1,0,29.0,0,0
42,15,5,1,0,-13.0,0,0
43,17,3,1,0,14.0,0,0
44,21,4,0,1,-13.0,0,0
45,24,8,1,0,-49.0,0,0
46,49,9,1,0,49.0,0,0
47,12,1,0,1,1.0,0,0
48,6,3,0,1,-33.0,0,0
49,6,3,0,1,-33.0,0,0
50,25,25,0,5,-255,0,1
50,34,9,0,1,-5.0,0,0
51,12,2,0,1,3.0,0,0
52,25,6,1,0,-21.0,0,0
53,16,3,0,1,23.0,0,0
54,15,2,1,0,14.0,0,0
55,14,4,0,1,-6.0,0,0
56,14,1,0,1,10.0,0,0
57,24,5,1,0,-22.0,0,0
58,8,2,0,1,-15.0,0,0
59,6,3,0,1,-33.0,0,0
60,32,5,0,1,55.0,0,0
61,9,4,0,1,-23.0,0,0
62,26,2,1,0,47.0,0,0
63,27,6,1,0,21.0,0,0
64,24,9,1,0,-47.0,0,0
65,15,5,0,1,-27.0,0,0
66,72,12,1,0,131.0,0,0
67,22,6,1,0,-29.0,0,0
68,6,2,0,1,-24.0,0,0
69,12,2,0,1,3.0,0,0
70,11,5,0,1,-23.0,0,0
71,12,1,1,0,37.0,0,0
72,10,3,0,1,-26.0,0,0
73,11,2,0,1,-7.0,0,0
74,34,13,1,0,-49.0,0,0
75,42,16,0,1,-43.0,0,0
76,18,4,0,1,1.0,0,0
77,16,2,0,1,-1.0,80.42497968673706,0
78,8,1,0,1,5.0,106.30412483215332,0
79,19,6,0,1,-7.0,140.15225493907928,0
80,10,3,0,1,-26.0,153.7577359676361,0
81,17,1,0,1,18.0,172.25591853260994,0
82,16,5,1,0,-3.0,183.97016149759293,0
83,24,2,1,0,49.0,204.61444854736328,0
84,36,6,1,0,45.0,231.60928869247437,0
85,12,4,1,0,-1.0,242.3866636455059,0
86,28,5,1,0,18.0,262.7282302826643,0
87,17,3,1,0,3.0,271.913357809186,0
88,57,11,1,0,67.0,311.13654966652393,0
89,14,0,0,1,30.0,320.62866888940334,0
90,18,2,1,0,11.0,333.8288566209376,0
91,13,1,1,0,25.0,342.52537417784333,0
92,6,1,0,1,-15.0,346.14333801344037,0
93,16,2,1,0,13.0,357.4254120774567,0
94,18,2,1,0,11.0,369.65639609470963,0
95,9,2,0,1,-5.0,373.5544829443097,0
96,8,2,0,1,-15.0,379.2721312716603,0
97,37,5,1,0,64.0,403.19096048921347,0
98,13,0,1,0,34.0,412.5101326033473,0
99,20,4,1,0,35.0,426.3957934603095,0
100,62,0,5,0,520,0,1
100,13,1,1,0,36.0,437.4218315705657,0
101,32,8,1,0,42.0,460.2809039503336,0
102,21,4,1,0,34.0,473.45561138540506,0
103,21,3,1,0,43.0,489.8436154946685,0
104,33,7,1,0,83.0,514.3258095756173,0
105,25,6,0,1,-2.0,530.4508901759982,0
106,25,3,1,0,83.0,549.7704149112105,0
107,10,1,1,0,39.0,556.7564107403159,0
