episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,62,0,5,0,520,0,1
0,0,0,0,0,0,0,0
1,16,1,0,1,19.0,0,0
2,8,1,0,1,-6.0,0,0
3,17,6,1,0,-24.0,0,0
4,23,3,0,1,5.0,0,0
5,6,0,0,1,-6.0,0,0
6,17,7,0,1,-25.0,0,0
7,21,5,0,1,11.0,0,0
8,23,4,1,0,43.0,0,0
9,10,0,1,0,37.0,0,0
10,19,5,1,0,-17.0,0,0
11,27,3,1,0,37.0,0,0
12,17,6,0,1,-38.0,0,0
13,18,2,1,0,22.0,0,0
14,12,6,0,1,-33.0,0,0
15,6,1,0,1,-15.0,0,0
16,15,2,1,0,14.0,0,0
17,13,2,0,1,13.0,0,0
18,6,1,0,1,-15.0,0,0
19,27,4,1,0,28.0,0,0
20,6,2,0,1,-24.0,0,0
21,35,8,0,1,-8.0,0,0
22,9,0,1,0,49.0,0,0
23,15,2,1,0,14.0,0,0
24,19,5,1,0,-17.0,0,0
25,21,6,0,1,-31.0,0,0
26,17,3,1,0,3.0,0,0
27,25,3,1,0,39.0,0,0
28,14,4,0,1,5.0,0,0
29,10,2,1,0,19.0,0,0
30,19,1,1,0,30.0,0,0
31,18,0,1,0,40.0,0,0
32,18,3,1,0,13.0,0,0
33,14,6,0,1,-13.0,0,0
34,16,0,1,0,31.0,0,0
35,15,3,1,0,5.0,0,0
36,13,1,1,0,25.0,0,0
37,20,4,1,0,-9.0,0,0
38,16,2,1,0,24.0,0,0
39,23,7,1,0,-39.0,0,0
40,24,4,1,0,31.0,0,0
41,14,2,0,1,1.0,0,0
42,15,4,0,1,-7.0,0,0
43,8,4,0,1,-33.0,0,0
44,17,1,1,0,21.0,0,0
45,16,5,1,0,-14.0,0,0
46,26,4,1,0,29.0,0,0
47,20,4,1,0,-9.0,0,0
48,7,0,0,1,4.0,0,0
49,13,4,0,1,-5.0,0,0
50,55,16,4,1,105,0,1
50,19,2,1,0,10.0,0,0
51,21,8,0,1,-27.0,0,0
52,17,1,0,1,29.0,0,0
53,37,9,1,0,-16.0,0,0
54,30,7,0,1,-5.0,0,0
55,31,4,0,1,43.0,0,0
56,9,3,0,1,-25.0,0,0
57,50,16,1,0,-4.0,0,0
58,12,4,0,1,-15.0,0,0
59,11,5,0,1,-45.0,0,0
60,6,3,0,1,-33.0,0,0
61,17,4,0,1,-9.0,0,0
62,24,5,0,1,41.0,0,0
63,14,2,0,1,34.0,0,0
64,18,3,1,0,2.0,0,0
65,21,5,0,1,-22.0,0,0
66,15,3,0,1,13.0,0,0
67,30,5,0,1,13.0,0,0
68,35,8,0,1,36.0,0,0
69,14,4,1,0,-3.0,0,0
70,30,4,1,0,25.0,0,0
71,14,1,0,1,32.0,0,0
72,39,9,0,1,12.0,0,0
73,16,2,1,0,24.0,0,0
74,16,4,0,1,-19.0,0,0
75,37,7,1,0,35.0,0,0
76,13,1,1,0,25.0,0,0
77,28,4,1,0,38.0,0,0
78,28,6,1,0,53.0,0,0
79,6,2,0,1,-24.0,0,0
80,28,4,1,0,38.0,0,0
81,50,6,1,0,86.0,125.5137300491333,0
82,48,11,0,1,40.0,176.55544966459274,0
83,27,5,1,0,63.0,201.93937538564205,0
84,27,3,1,0,81.0,224.7763324379921,0
85,22,5,0,1,43.0,247.29880332946777,0
86,19,5,1,0,-6.0,264.4672982096672,0
87,13,5,0,1,-14.0,275.2122930586338,0
88,23,3,1,0,41.0,297.9165845066309,0
89,30,3,0,1,97.0,320.39725264161825,0
90,46,9,1,0,96.0,363.2638112977147,0
91,14,2,0,1,1.0,378.0951182320714,0
92,25,6,0,1,9.0,398.06075198203325,0
93,18,6,1,0,19.0,412.1007983162999,0
94,22,4,1,0,33.0,427.4574139788747,0
