episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,38,33,0,5,-285,0,1
0,0,0,0,0,0,0,0
1,34,6,1,0,58.0,0,0
2,28,6,1,0,9.0,0,0
3,16,2,0,1,21.0,0,0
4,11,8,0,1,-61.0,0,0
5,31,5,1,0,26.0,0,0
6,12,1,1,0,37.0,0,0
7,16,2,1,0,13.0,0,0
8,19,1,1,0,30.0,0,0
9,22,4,0,1,19.0,0,0
10,6,3,0,1,-33.0,0,0
11,12,2,0,1,14.0,0,0
12,7,2,0,1,-14.0,0,0
13,6,2,0,1,-24.0,0,0
14,8,4,0,1,-33.0,0,0
15,16,6,0,1,-37.0,0,0
16,11,2,0,1,4.0,0,0
17,13,1,1,0,36.0,0,0
18,17,4,1,0,5.0,0,0
19,17,8,1,0,-31.0,0,0
20,34,6,1,0,47.0,0,0
21,17,5,0,1,-7.0,0,0
22,37,9,1,0,17.0,0,0
23,25,3,1,0,50.0,0,0
24,65,15,1,0,23.0,0,0
25,16,3,1,0,4.0,0,0
26,18,5,1,0,-5.0,0,0
27,22,6,0,1,-21.0,0,0
28,48,11,1,0,43.0,0,0
29,7,1,0,1,-5.0,0,0
30,27,5,0,1,16.0,0,0
31,17,5,0,1,-29.0,0,0
32,19,6,1,0,-15.0,0,0
33,46,10,1,0,10.0,0,0
34,27,1,0,1,118.0,0,0
35,13,6,0,1,-45.0,0,0
36,12,1,0,1,-10.0,0,0
37,24,6,0,1,-12.0,0,0
38,21,5,0,1,22.0,0,0
39,30,6,1,0,18.0,0,0
40,31,3,1,0,33.0,0,0
41,26,8,1,0,4.0,0,0
42,15,5,1,0,-13.0,0,0
43,14,5,0,1,-26.0,0,0
44,13,3,0,1,-7.0,0,0
45,35,12,0,1,-33.0,0,0
46,6,5,0,1,-51.0,0,0
47,6,0,0,1,-6.0,0,0
48,16,4,1,0,-5.0,0,0
49,16,5,0,1,-17.0,0,0
50,62,0,5,0,520,0,1
50,17,3,1,0,3.0,0,0
51,21,3,1,0,43.0,0,0
52,38,8,1,0,69.0,0,0
53,30,8,0,1,-36.0,0,0
54,16,6,0,1,-15.0,0,0
55,21,6,1,0,-17.0,0,0
56,6,3,0,1,-33.0,0,0
57,24,7,0,1,-32.0,0,0
58,6,0,0,1,-6.0,0,0
59,20,4,1,0,-9.0,0,0
60,14,2,0,1,1.0,0,0
61,24,7,1,0,4.0,0,0
62,7,2,0,1,-14.0,0,0
63,7,1,0,1,-5.0,0,0
64,7,3,0,1,-23.0,0,0
65,18,8,0,1,-35.0,0,0
66,12,1,1,0,37.0,0,0
67,6,3,0,1,-33.0,0,0
68,6,1,0,1,-15.0,0,0
69,19,3,1,0,1.0,0,0
70,9,2,0,1,-16.0,0,0
71,30,4,1,0,-8.0,0,0
72,36,7,1,0,36.0,0,0
73,18,7,0,1,-37.0,0,0
74,21,5,0,1,-22.0,0,0
75,23,6,1,0,-19.0,0,0
76,19,5,0,1,-9.0,0,0
77,31,3,0,1,41.0,69.00302076339722,0
78,6,4,0,1,-42.0,88.94402503967285,0
79,9,4,0,1,-23.0,110.41591894626617,0
80,6,1,0,1,-15.0,118.14931166172028,0
81,18,2,1,0,22.0,139.348870575428,0
82,21,4,1,0,1.0,161.09513747692108,0
83,13,1,0,1,11.0,171.5061554312706,0
84,11,0,1,0,36.0,181.09093713760376,0
85,37,6,1,0,44.0,208.07459130883217,0
86,13,1,1,0,36.0,216.706103682518,0
87,16,2,1,0,13.0,227.62282090634108,0
88,18,3,1,0,46.0,246.8147651180625,0
89,21,7,1,0,7.0,263.78034519404173,0
90,17,0,1,0,30.0,275.03731141239405,0
91,21,4,1,0,34.0,290.75997959822416,0
92,37,7,1,0,35.0,316.64169023931026,0
