episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,25,0,5,-255,0,1
0,0,0,0,0,0,0,0
1,18,5,0,1,-30.0,0,0
2,32,8,0,1,-5.0,0,0
3,24,3,1,0,7.0,0,0
4,28,4,1,0,-6.0,0,0
5,18,4,0,1,12.0,0,0
6,13,2,0,1,13.0,0,0
7,13,3,1,0,7.0,0,0
8,20,6,0,1,-19.0,0,0
9,16,5,1,0,-14.0,0,0
10,8,5,0,1,-42.0,0,0
11,16,1,1,0,22.0,0,0
12,28,8,0,1,-12.0,0,0
13,8,1,0,1,5.0,0,0
14,15,2,1,0,14.0,0,0
15,8,5,0,1,-31.0,0,0
16,20,1,1,0,73.0,0,0
17,19,2,0,1,18.0,0,0
18,14,4,0,1,-6.0,0,0
19,22,4,1,0,-11.0,0,0
20,30,5,1,0,27.0,0,0
21,8,3,0,1,-13.0,0,0
22,21,5,1,0,25.0,0,0
23,23,2,1,0,50.0,0,0
24,32,4,1,0,23.0,0,0
25,18,2,1,0,11.0,0,0
26,7,0,0,1,4.0,0,0
27,16,3,0,1,1.0,0,0
28,10,0,0,1,23.0,0,0
29,19,5,0,1,-20.0,0,0
30,20,10,0,1,-55.0,0,0
31,29,5,1,0,17.0,0,0
32,6,1,0,1,-15.0,0,0
33,8,1,0,1,5.0,0,0
34,8,2,0,1,-15.0,0,0
35,13,5,0,1,-36.0,0,0
36,6,2,0,1,-24.0,0,0
37,34,2,1,0,50.0,0,0
38,21,7,0,1,-18.0,0,0
39,22,5,1,0,-9.0,0,0
40,22,2,1,0,62.0,0,0
41,19,3,1,0,12.0,0,0
42,35,7,1,0,48.0,0,0
43,26,4,1,0,29.0,0,0
44,15,5,1,0,-13.0,0,0
45,17,3,1,0,14.0,0,0
46,21,4,0,1,-13.0,0,0
47,24,8,1,0,-49.0,0,0
48,49,7,1,0,67.0,0,0
49,18,6,0,1,-39.0,0,0
50,25,25,0,5,-255,0,1
50,6,3,0,1,-33.0,0,0
51,20,4,1,0,-9.0,0,0
52,14,5,0,1,-37.0,0,0
53,12,2,0,1,3.0,0,0
54,25,6,1,0,-21.0,0,0
55,16,3,0,1,23.0,0,0
56,15,2,1,0,14.0,0,0
57,14,2,0,1,12.0,0,0
58,14,1,0,1,10.0,0,0
59,17,2,0,1,9.0,0,0
60,15,5,0,1,-27.0,0,0
61,6,3,0,1,-33.0,0,0
62,32,5,0,1,55.0,0,0
63,9,4,0,1,-23.0,0,0
64,26,2,1,0,47.0,0,0
65,35,7,1,0,37.0,0,0
66,31,11,0,1,-31.0,0,0
67,27,5,0,1,27.0,0,0
68,17,1,1,0,65.0,0,0
69,16,2,1,0,24.0,0,0
70,22,2,1,0,18.0,0,0
71,18,7,0,1,-26.0,0,0
72,12,2,0,1,3.0,0,0
73,10,4,0,1,-13.0,0,0
74,12,1,1,0,37.0,0,0
75,10,3,0,1,-26.0,0,0
76,11,2,0,1,-7.0,0,0
77,34,13,1,0,-49.0,0,0
78,28,8,1,0,2.0,0,0
79,22,6,1,0,-29.0,0,0
80,10,1,0,1,3.0,0,0
81,15,3,0,1,-9.0,51.95062255859375,0
82,8,1,0,1,5.0,75.28225493431091,0
83,19,6,0,1,-7.0,104.56291699409485,0
84,10,3,0,1,-26.0,117.11790722608566,0
85,17,1,0,1,18.0,134.8820972442627,0
86,16,5,1,0,-3.0,147.14543297886848,0
87,24,2,1,0,49.0,168.8325003683567,0
88,36,6,1,0,45.0,206.10016718506813,0
89,12,4,1,0,-1.0,217.8841900229454,0
90,28,5,1,0,18.0,240.79254099726677,0
91,17,3,1,0,3.0,257.45996075868607,0
92,57,11,1,0,67.0,299.9573034644127,0
93,14,0,0,1,30.0,313.5613002181053,0
94,18,2,1,0,11.0,328.00576850771904,0
95,13,1,1,0,25.0,340.2349509894848,0
96,6,1,0,1,-15.0,344.106172144413,0
97,16,2,1,0,13.0,356.94843846559525,0
98,18,2,1,0,11.0,372.18567937612534,0
99,9,2,0,1,-5.0,379.214633628726,0
100,62,0,5,0,520,0,1
100,8,2,0,1,-15.0,385.557409748435,0
101,37,5,1,0,64.0,410.8363300859928,0
102,13,0,1,0,34.0,421.31050658226013,0
103,20,4,1,0,35.0,436.96405175328255,0
104,13,1,1,0,36.0,447.44234973192215,0
105,32,8,1,0,42.0,470.50300392508507,0
106,21,4,1,0,34.0,485.1733082830906,0
107,21,3,1,0,43.0,499.6317789554596,0
108,33,7,1,0,83.0,525.8847214579582,0
