episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,62,0,5,0,520,0,1
0,0,0,0,0,0,0,0
1,16,3,0,1,12.0,0,0
2,8,1,0,1,-6.0,0,0
3,17,6,1,0,-24.0,0,0
4,23,4,0,1,7.0,0,0
5,6,0,0,1,-6.0,0,0
6,17,7,0,1,-25.0,0,0
7,15,1,1,0,23.0,0,0
8,6,3,0,1,-33.0,0,0
9,15,3,1,0,5.0,0,0
10,13,0,1,0,34.0,0,0
11,11,3,1,0,9.0,0,0
12,31,4,1,0,24.0,0,0
13,22,6,1,0,-18.0,0,0
14,6,3,0,1,-33.0,0,0
15,18,2,1,0,11.0,0,0
16,10,7,0,1,-51.0,0,0
17,6,1,0,1,-15.0,0,0
18,17,3,1,0,14.0,0,0
19,12,4,0,1,-4.0,0,0
20,16,0,1,0,31.0,0,0
21,22,6,0,1,-32.0,0,0
22,35,8,0,1,-8.0,0,0
23,12,1,1,0,26.0,0,0
24,13,2,1,0,16.0,0,0
25,23,8,1,0,-37.0,0,0
26,17,3,0,1,-11.0,0,0
27,20,6,1,0,-27.0,0,0
28,14,1,1,0,24.0,0,0
29,22,6,0,1,-21.0,0,0
30,10,2,1,0,19.0,0,0
31,16,2,1,0,24.0,0,0
32,22,2,1,0,18.0,0,0
33,29,10,0,1,-9.0,0,0
34,16,0,1,0,31.0,0,0
35,17,3,1,0,14.0,0,0
36,17,2,1,0,12.0,0,0
37,39,10,1,0,17.0,0,0
38,26,7,1,0,2.0,0,0
39,18,3,1,0,13.0,0,0
40,8,2,0,1,-15.0,0,0
41,15,4,0,1,-7.0,0,0
42,8,4,0,1,-33.0,0,0
43,29,7,1,0,-1.0,0,0
44,34,6,1,0,58.0,0,0
45,22,4,0,1,-3.0,0,0
46,14,3,0,1,3.0,0,0
47,20,2,1,0,20.0,0,0
48,14,4,1,0,-3.0,0,0
49,6,3,0,1,-33.0,0,0
50,85,11,4,1,527,0,1
50,16,2,0,1,10.0,0,0
51,27,5,1,0,-25.0,0,0
52,21,3,1,0,-1.0,0,0
53,20,4,0,1,-1.0,0,0
54,23,5,1,0,-10.0,0,0
55,8,1,0,1,5.0,0,0
56,9,3,0,1,-25.0,0,0
57,36,15,1,0,-80.0,0,0
58,12,1,1,0,37.0,0,0
59,12,2,0,1,3.0,0,0
60,6,1,0,1,-15.0,0,0
61,7,5,0,1,-41.0,0,0
62,6,3,0,1,-33.0,0,0
63,17,4,0,1,-9.0,0,0
64,24,5,0,1,41.0,0,0
65,14,2,0,1,34.0,0,0
66,19,3,1,0,12.0,0,0
67,20,6,0,1,-30.0,0,0
68,15,4,0,1,-7.0,0,0
69,30,6,0,1,4.0,0,0
70,19,6,1,0,-26.0,0,0
71,21,3,1,0,43.0,0,0
72,33,4,1,0,33.0,0,0
73,20,4,0,1,10.0,0,0
74,52,12,1,0,19.0,0,0
75,19,6,0,1,-29.0,0,0
76,19,3,1,0,1.0,0,0
77,25,4,1,0,30.0,0,0
78,11,1,1,0,27.0,0,0
79,20,4,1,0,-9.0,0,0
80,12,2,1,0,28.0,0,0
81,14,3,1,0,6.0,0,0
82,11,5,0,1,-34.0,0,0
83,28,4,0,1,35.0,0,0
84,50,6,1,0,86.0,139.9009222984314,0
85,20,4,1,0,-9.0,165.21377104520798,0
86,27,8,0,1,0.0,195.11873376369476,0
87,22,5,1,0,24.0,221.3354753255844,0
88,8,0,1,0,39.0,231.35941362380981,0
89,11,0,1,0,36.0,242.3880290389061,0
90,16,3,1,0,4.0,256.20919536054134,0
91,14,1,1,0,35.0,270.2295210212469,0
92,23,7,1,0,-28.0,293.0849374681711,0
93,13,5,0,1,-14.0,306.639263227582,0
94,17,3,1,0,3.0,321.94667483866215,0
95,36,3,0,1,135.0,351.8075090199709,0
