episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,62,0,5,0,520,0,1
0,0,0,0,0,0,0,0
1,16,2,0,1,32.0,0,0
2,8,1,0,1,-6.0,0,0
3,17,6,1,0,-24.0,0,0
4,23,3,0,1,5.0,0,0
5,6,0,0,1,-6.0,0,0
6,17,7,0,1,-25.0,0,0
7,15,1,1,0,23.0,0,0
8,6,3,0,1,-33.0,0,0
9,15,3,1,0,5.0,0,0
10,13,0,1,0,34.0,0,0
11,11,3,1,0,9.0,0,0
12,23,4,1,0,-1.0,0,0
13,13,2,1,0,16.0,0,0
14,22,8,0,1,-28.0,0,0
15,29,9,0,1,-11.0,0,0
16,6,1,0,1,-15.0,0,0
17,27,5,1,0,30.0,0,0
18,6,0,0,1,-6.0,0,0
19,26,4,1,0,40.0,0,0
20,8,1,0,1,-6.0,0,0
21,25,5,1,0,-23.0,0,0
22,10,2,0,1,-6.0,0,0
23,12,1,1,0,26.0,0,0
24,13,2,1,0,16.0,0,0
25,25,10,1,1,-57.0,0,0
26,15,3,0,1,-9.0,0,0
27,23,7,0,1,-20.0,0,0
28,11,0,1,0,36.0,0,0
29,19,4,1,0,3.0,0,0
30,13,5,1,0,-11.0,0,0
31,16,2,1,0,24.0,0,0
32,52,11,0,1,47.0,0,0
33,16,0,1,0,31.0,0,0
34,18,4,1,0,-7.0,0,0
35,19,3,1,0,1.0,0,0
36,23,3,1,0,41.0,0,0
37,26,8,1,0,-51.0,0,0
38,14,2,1,0,26.0,0,0
39,18,4,1,0,4.0,0,0
40,7,3,0,1,-23.0,0,0
41,15,4,0,1,-7.0,0,0
42,8,4,0,1,-33.0,0,0
43,28,6,0,1,17.0,0,0
44,32,6,1,0,49.0,0,0
45,39,10,0,1,-19.0,0,0
46,20,2,1,0,20.0,0,0
47,12,6,0,1,-33.0,0,0
48,8,3,0,1,-13.0,0,0
49,17,1,0,1,29.0,0,0
50,77,19,3,2,273,0,1
50,37,9,1,0,-16.0,0,0
51,23,4,1,0,-1.0,0,0
52,7,3,0,1,-23.0,0,0
53,23,3,1,0,8.0,0,0
54,8,1,0,1,5.0,0,0
55,9,3,0,1,-25.0,0,0
56,36,15,1,0,-80.0,0,0
57,12,1,1,0,37.0,0,0
58,14,5,0,1,-15.0,0,0
59,11,5,0,1,-45.0,0,0
60,6,3,0,1,-33.0,0,0
61,17,4,0,1,-9.0,0,0
62,13,3,1,0,7.0,0,0
63,11,1,0,1,13.0,0,0
64,14,2,0,1,34.0,0,0
65,19,3,1,0,12.0,0,0
66,20,6,0,1,-30.0,0,0
67,15,3,0,1,13.0,0,0
68,30,6,0,1,4.0,0,0
69,20,5,1,0,-18.0,0,0
70,35,6,0,1,65.0,0,0
71,13,1,1,0,36.0,0,0
72,18,4,1,0,4.0,0,0
73,7,2,0,1,-14.0,0,0
74,30,7,1,0,-2.0,0,0
75,9,2,0,1,-16.0,0,0
76,15,2,1,0,14.0,0,0
77,17,5,0,1,-29.0,0,0
78,17,2,1,0,12.0,0,0
79,54,13,1,0,52.0,0,0
80,21,3,1,0,43.0,0,0
81,20,7,0,1,-28.0,0,0
82,23,3,1,0,41.0,0,0
83,6,1,0,1,-15.0,0,0
84,22,3,1,0,9.0,83.10749435424805,0
85,25,2,1,0,59.0,142.76239705085754,0
86,20,4,1,0,-9.0,169.806882917881,0
87,16,2,1,0,13.0,189.20332789421082,0
88,13,4,0,1,-16.0,207.2759450674057,0
89,22,5,1,0,35.0,230.93260684609413,0
90,21,1,1,0,105.0,252.6789454817772,0
91,12,2,0,1,14.0,262.2188141644001,0
92,11,0,1,0,47.0,270.6469062566757,0
93,18,4,1,0,4.0,287.3806809782982,0
94,23,9,0,1,-38.0,310.5174072086811,0
95,17,3,1,0,3.0,327.256648004055,0
