episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,25,0,5,-255,0,1
0,0,0,0,0,0,0,0
1,18,5,0,1,-30.0,0,0
2,22,6,1,0,-18.0,0,0
3,13,5,0,1,-25.0,0,0
4,20,2,1,0,9.0,0,0
5,22,4,0,1,-3.0,0,0
6,18,4,1,0,-7.0,0,0
7,19,3,0,1,9.0,0,0
8,34,8,0,1,37.0,0,0
9,16,5,1,0,-14.0,0,0
10,39,12,1,0,-1.0,0,0
11,13,5,0,1,-14.0,0,0
12,16,2,0,1,21.0,0,0
13,15,6,0,1,-3.0,0,0
14,13,0,1,0,34.0,0,0
15,15,2,1,0,14.0,0,0
16,11,1,0,1,2.0,0,0
17,14,4,0,1,-6.0,0,0
18,22,4,1,0,-11.0,0,0
19,21,2,1,0,63.0,0,0
20,18,4,0,1,1.0,0,0
21,15,5,1,0,-2.0,0,0
22,16,2,1,0,24.0,0,0
23,35,4,1,0,75.0,0,0
24,34,6,1,1,14.0,0,0
25,17,4,0,1,-9.0,0,0
26,30,6,0,1,26.0,0,0
27,21,10,0,1,-45.0,0,0
28,20,6,1,0,-27.0,0,0
29,15,0,0,1,51.0,0,0
30,16,3,0,1,1.0,0,0
31,16,6,0,1,-37.0,0,0
32,6,1,0,1,-15.0,0,0
33,15,1,1,0,23.0,0,0
34,25,3,1,0,6.0,0,0
35,12,4,0,1,-26.0,0,0
36,18,3,1,0,13.0,0,0
37,32,2,1,0,96.0,0,0
38,15,2,1,0,25.0,0,0
39,23,6,1,0,-19.0,0,0
40,31,3,1,0,77.0,0,0
41,16,5,1,0,-3.0,0,0
42,12,1,1,0,37.0,0,0
43,24,2,1,0,5.0,0,0
44,6,1,0,1,-15.0,0,0
45,25,8,1,0,-39.0,0,0
46,24,5,1,0,22.0,0,0
47,18,2,1,0,22.0,0,0
48,22,7,0,1,-8.0,0,0
49,6,3,0,1,-33.0,0,0
50,25,25,0,5,-255,0,1
50,36,10,0,1,-27.0,0,0
51,12,2,0,1,3.0,0,0
52,22,5,0,1,-1.0,0,0
53,14,3,1,0,17.0,0,0
54,6,0,0,1,-6.0,0,0
55,28,4,0,1,68.0,0,0
56,14,1,0,1,10.0,0,0
57,19,1,1,0,19.0,0,0
58,14,4,0,1,-17.0,0,0
59,37,6,0,1,41.0,0,0
60,9,4,0,1,-23.0,0,0
61,28,2,1,0,56.0,0,0
62,44,11,1,0,47.0,0,0
63,20,6,0,1,-19.0,0,0
64,15,1,1,0,23.0,0,0
65,21,5,1,0,-8.0,0,0
66,18,2,1,0,55.0,0,0
67,18,2,1,0,11.0,0,0
68,28,8,0,1,-12.0,0,0
69,12,2,0,1,3.0,0,0
70,10,4,0,1,-13.0,0,0
71,12,1,1,0,37.0,0,0
72,10,3,0,1,-26.0,0,0
73,11,2,0,1,-7.0,0,0
74,48,18,1,0,-31.0,0,0
75,13,1,1,0,25.0,0,0
76,15,7,0,1,-45.0,0,0
77,18,3,0,1,21.0,0,0
78,15,3,0,1,-9.0,68.1278281211853,0
79,8,1,0,1,5.0,87.69927430152893,0
80,19,6,0,1,-7.0,120.00664114952087,0
81,10,3,0,1,-26.0,131.96958696842194,0
82,17,1,0,1,18.0,149.38630443811417,0
83,16,5,1,0,-3.0,164.63590931892395,0
84,32,4,1,0,67.0,192.31326326727867,0
85,18,2,1,0,11.0,209.5319041311741,0
86,15,5,1,0,-13.0,220.9368962943554,0
87,12,3,1,0,8.0,231.07959267497063,0
88,29,5,1,0,28.0,254.83660244941711,0
89,19,5,1,0,-17.0,269.1242717206478,0
90,25,5,1,0,21.0,288.8176355957985,0
91,27,3,1,0,37.0,310.9039216786623,0
92,49,5,0,1,93.0,351.3776627779007,0
93,29,5,1,0,17.0,374.1493405252695,0
94,14,2,0,1,23.0,383.8926596939564,0
95,9,2,0,1,-5.0,389.99585342407227,0
96,18,0,1,0,29.0,403.67952260375023,0
97,16,4,1,0,6.0,412.6145177036524,0
98,14,2,1,0,26.0,421.8794719427824,0
99,25,5,1,0,65.0,445.6573705524206,0
100,62,0,5,0,520,0,1
100,52,14,1,0,45.0,483.2226710617542,0
101,11,2,1,0,18.0,491.8326693177223,0
102,12,2,1,0,17.0,502.13592064380646,0
103,14,4,1,0,-3.0,512.7563270628452,0
104,12,2,1,0,17.0,519.2429260388017,0
105,36,7,1,0,47.0,547.9484307840466,0
106,14,4,1,0,-3.0,555.6936526373029,0
107,11,0,1,0,36.0,563.8366446271539,0
