episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,62,0,5,0,520,0,1
0,0,0,0,0,0,0,0
1,16,1,0,1,30.0,0,0
2,8,1,0,1,-6.0,0,0
3,35,9,1,0,-14.0,0,0
4,6,1,0,1,-15.0,0,0
5,6,0,0,1,-6.0,0,0
6,6,1,0,1,-15.0,0,0
7,10,3,0,1,7.0,0,0
8,21,4,0,1,9.0,0,0
9,15,3,1,0,5.0,0,0
10,13,0,1,0,34.0,0,0
11,11,3,1,0,9.0,0,0
12,31,6,1,0,6.0,0,0
13,22,4,1,0,0.0,0,0
14,6,3,0,1,-33.0,0,0
15,18,2,1,0,11.0,0,0
16,10,7,0,1,-51.0,0,0
17,6,1,0,1,-15.0,0,0
18,29,2,0,1,52.0,0,0
19,17,1,1,0,21.0,0,0
20,21,6,0,1,-42.0,0,0
21,25,3,1,0,-5.0,0,0
22,10,2,0,1,-6.0,0,0
23,12,1,1,0,26.0,0,0
24,20,1,1,0,29.0,0,0
25,18,9,0,1,-44.0,0,0
26,15,3,0,1,-9.0,0,0
27,23,8,0,1,-40.0,0,0
28,13,0,1,0,34.0,0,0
29,20,8,0,1,-37.0,0,0
30,10,2,1,0,19.0,0,0
31,16,2,1,0,24.0,0,0
32,25,6,0,1,-13.0,0,0
33,16,4,1,0,-5.0,0,0
34,11,4,0,1,-25.0,0,0
35,17,0,1,0,41.0,0,0
36,17,3,1,0,3.0,0,0
37,26,4,1,0,29.0,0,0
38,30,7,1,0,-2.0,0,0
39,29,7,1,0,-1.0,0,0
40,17,2,1,0,23.0,0,0
41,6,3,0,1,-33.0,0,0
42,14,3,0,1,3.0,0,0
43,8,4,0,1,-33.0,0,0
44,28,6,0,1,17.0,0,0
45,24,5,1,0,22.0,0,0
46,23,7,1,0,-39.0,0,0
47,11,3,0,1,-16.0,0,0
48,13,5,0,1,-25.0,0,0
49,32,7,0,1,15.0,0,0
50,29,28,0,5,-275,0,1
50,8,3,0,1,-13.0,0,0
51,17,2,0,1,9.0,0,0
52,34,8,1,0,-4.0,0,0
53,33,7,0,1,3.0,0,0
54,22,4,1,0,0.0,0,0
55,8,1,0,1,5.0,0,0
56,9,3,0,1,-25.0,0,0
57,36,15,1,0,-80.0,0,0
58,12,1,1,0,37.0,0,0
59,12,4,0,1,-15.0,0,0
60,6,1,0,1,-15.0,0,0
61,7,5,0,1,-41.0,0,0
62,6,3,0,1,-33.0,0,0
63,17,4,0,1,-9.0,0,0
64,24,5,0,1,41.0,0,0
65,14,2,0,1,34.0,0,0
66,24,4,1,0,-2.0,0,0
67,15,4,0,1,-18.0,0,0
68,15,3,0,1,13.0,0,0
69,30,5,0,1,13.0,0,0
70,20,5,1,0,-18.0,0,0
71,16,2,1,0,13.0,0,0
72,18,6,0,1,-17.0,0,0
73,17,1,1,0,21.0,0,0
74,21,7,0,1,-18.0,0,0
75,34,7,1,0,5.0,0,0
76,6,1,0,1,-15.0,0,0
77,14,1,1,0,24.0,0,0
78,17,5,0,1,-29.0,0,0
79,20,2,1,0,9.0,0,0
80,33,5,1,0,68.0,0,0
81,29,6,1,0,19.0,0,0
82,12,0,1,0,35.0,0,0
83,18,6,0,1,-28.0,0,0
84,28,4,0,1,35.0,0,0
85,50,4,1,0,104.0,153.81235110759735,0
86,20,4,1,0,-9.0,177.7264654636383,0
87,27,8,0,1,0.0,205.52336004376411,0
88,22,5,1,0,24.0,226.05287912487984,0
89,8,0,1,0,39.0,232.08866047859192,0
90,11,0,1,0,36.0,240.27082777023315,0
91,16,3,1,0,4.0,254.06268621981144,0
92,14,1,1,0,35.0,266.2298731058836,0
93,23,7,1,0,-28.0,282.8360027819872,0
94,13,5,0,1,-14.0,294.7589286714792,0
95,17,3,1,0,3.0,308.45028369128704,0
