episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,25,0,5,-255,0,1
0,0,0,0,0,0,0,0
1,35,6,1,0,57.0,0,0
2,31,8,0,1,7.0,0,0
3,23,3,1,0,8.0,0,0
4,43,13,0,1,-17.0,0,0
5,38,9,0,1,35.0,0,0
6,17,3,0,1,22.0,0,0
7,18,6,1,0,-25.0,0,0
8,19,4,0,1,11.0,0,0
9,17,4,0,1,13.0,0,0
10,18,4,1,0,-7.0,0,0
11,21,6,0,1,-31.0,0,0
12,30,10,1,0,-73.0,0,0
13,27,5,1,0,-14.0,0,0
14,19,6,0,1,-40.0,0,0
15,6,2,0,1,-24.0,0,0
16,14,3,1,0,17.0,0,0
17,14,3,0,1,-8.0,0,0
18,21,6,1,0,-17.0,0,0
19,10,5,0,1,-44.0,0,0
20,56,11,1,0,68.0,0,0
21,31,6,0,1,3.0,0,0
22,20,6,1,0,-16.0,0,0
23,27,4,1,0,-5.0,0,0
24,6,2,0,1,-24.0,0,0
25,30,7,0,1,-27.0,0,0
26,7,3,0,1,-23.0,0,0
27,14,2,0,1,23.0,0,0
28,22,6,1,0,-29.0,0,0
29,14,1,1,0,24.0,0,0
30,14,2,1,0,15.0,0,0
31,14,5,0,1,-26.0,0,0
32,17,3,1,0,3.0,0,0
33,11,3,0,1,-27.0,0,0
34,16,0,1,0,31.0,0,0
35,9,2,0,1,-5.0,0,0
36,8,1,0,1,-6.0,0,0
37,30,6,1,0,7.0,0,0
38,17,3,1,0,3.0,0,0
39,22,2,1,0,18.0,0,0
40,20,3,0,1,19.0,0,0
41,6,1,0,1,-15.0,0,0
42,14,2,0,1,1.0,0,0
43,11,1,1,0,27.0,0,0
44,26,2,1,0,47.0,0,0
45,20,7,0,1,-39.0,0,0
46,6,1,0,1,-15.0,0,0
47,15,3,0,1,-9.0,0,0
48,24,3,1,0,51.0,0,0
49,17,2,0,1,31.0,0,0
50,25,25,0,5,-255,0,1
50,18,4,1,0,4.0,0,0
51,19,6,0,1,-7.0,0,0
52,11,2,0,1,-7.0,0,0
53,15,3,1,0,5.0,0,0
54,6,1,0,1,-15.0,0,0
55,17,3,1,0,3.0,0,0
56,12,4,1,0,-1.0,0,0
57,13,6,0,1,-45.0,0,0
58,16,2,1,0,24.0,0,0
59,6,2,0,1,-24.0,0,0
60,11,3,0,1,-5.0,0,0
61,7,1,0,1,-5.0,0,0
62,20,3,0,1,19.0,0,0
63,31,5,1,0,59.0,0,0
64,15,2,1,0,25.0,0,0
65,8,2,0,1,-15.0,0,0
66,17,4,0,1,-9.0,0,0
67,38,9,0,1,2.0,0,0
68,19,3,1,0,1.0,0,0
69,26,4,0,1,15.0,0,0
70,7,1,0,1,-5.0,0,0
71,26,6,0,1,19.0,0,0
72,18,6,1,0,-14.0,0,0
73,26,6,0,1,30.0,0,0
74,21,6,1,0,-17.0,0,0
75,6,2,0,1,-24.0,0,0
76,6,2,0,1,-24.0,0,0
77,16,5,1,0,-3.0,0,0
78,13,3,0,1,15.0,0,0
79,12,4,0,1,-15.0,0,0
80,15,2,1,0,25.0,0,0
81,6,0,0,1,-6.0,0,0
82,10,3,0,1,-26.0,0,0
83,6,1,0,1,-15.0,0,0
84,19,0,1,0,39.0,0,0
85,9,2,0,1,-5.0,41.51945924758911,0
86,14,2,1,0,15.0,82.08092331886292,0
87,10,3,0,1,-4.0,100.36564862728119,0
88,22,5,0,1,-1.0,124.3818110525608,0
89,18,4,0,1,12.0,140.4798916876316,0
90,29,8,1,0,-10.0,164.1413720548153,0
91,14,0,0,1,30.0,173.1275563687086,0
92,15,1,1,0,34.0,183.2565570026636,0
93,37,9,1,0,28.0,211.22372315824032,0
94,11,0,1,0,47.0,221.099853977561,0
95,16,2,0,1,65.0,230.41682709008455,0
96,16,0,1,0,42.0,241.11536692082882,0
97,26,4,1,0,29.0,257.45662700384855,0
98,16,2,1,0,13.0,268.58405988663435,0
99,43,3,1,0,197.0,303.57891880720854,0
100,62,0,5,0,520,0,1
100,10,3,0,1,-15.0,310.4829345420003,0
101,14,3,1,0,6.0,321.56216851621866,0
102,14,4,0,1,-17.0,331.1028599217534,0
103,19,3,1,0,1.0,344.31213792786,0
104,15,1,1,0,34.0,356.4627185128629,0
105,16,2,1,0,24.0,366.63361201807857,0
106,16,4,1,0,-5.0,378.57437828555703,0
107,17,2,1,0,12.0,392.24828976765275,0
108,23,3,1,0,41.0,408.6880029477179,0
109,13,1,1,0,36.0,417.6323482133448,0
