episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,62,0,5,0,520,0,1
0,0,0,0,0,0,0,0
1,16,4,0,1,-8.0,0,0
2,8,1,0,1,-6.0,0,0
3,40,9,0,1,11.0,0,0
4,6,0,0,1,-6.0,0,0
5,6,3,0,1,-33.0,0,0
6,10,3,0,1,7.0,0,0
7,21,6,0,1,-9.0,0,0
8,15,3,1,0,5.0,0,0
9,13,0,1,0,34.0,0,0
10,27,7,1,0,12.0,0,0
11,16,2,1,0,24.0,0,0
12,20,5,1,0,-18.0,0,0
13,6,4,0,1,-42.0,0,0
14,30,12,0,1,-39.0,0,0
15,6,1,0,1,-15.0,0,0
16,19,4,1,0,-8.0,0,0
17,9,4,0,1,-23.0,0,0
18,6,1,0,1,-15.0,0,0
19,11,0,1,0,36.0,0,0
20,22,6,0,1,-32.0,0,0
21,35,8,0,1,-8.0,0,0
22,12,1,1,0,26.0,0,0
23,21,5,1,0,-8.0,0,0
24,22,8,1,0,-36.0,0,0
25,10,1,0,1,3.0,0,0
26,23,5,0,1,-13.0,0,0
27,13,1,1,0,25.0,0,0
28,19,6,0,1,-29.0,0,0
29,10,2,1,0,19.0,0,0
30,19,3,1,0,12.0,0,0
31,23,2,0,1,25.0,0,0
32,15,3,1,0,5.0,0,0
33,11,5,0,1,-23.0,0,0
34,20,0,1,0,38.0,0,0
35,54,8,1,0,108.0,0,0
36,19,5,1,0,-17.0,0,0
37,35,5,1,0,55.0,0,0
38,13,2,0,1,-9.0,0,0
39,15,4,0,1,-7.0,0,0
40,8,4,0,1,-33.0,0,0
41,17,1,1,0,21.0,0,0
42,19,6,1,0,-15.0,0,0
43,15,2,1,0,14.0,0,0
44,24,7,1,0,-29.0,0,0
45,9,0,0,1,13.0,0,0
46,14,2,0,1,1.0,0,0
47,20,2,1,0,20.0,0,0
48,20,10,0,1,-55.0,0,0
49,16,0,0,1,28.0,0,0
50,83,16,5,0,355,0,1
50,27,5,1,0,-25.0,0,0
51,21,3,1,0,-1.0,0,0
52,20,4,0,1,-1.0,0,0
53,31,5,0,1,23.0,0,0
54,9,3,0,1,-25.0,0,0
55,24,9,1,0,-58.0,0,0
56,18,7,1,0,-23.0,0,0
57,12,0,1,0,35.0,0,0
58,6,1,0,1,-15.0,0,0
59,6,1,0,1,-15.0,0,0
60,7,5,0,1,-41.0,0,0
61,6,3,0,1,-33.0,0,0
62,17,4,0,1,-9.0,0,0
63,24,5,0,1,41.0,0,0
64,14,2,0,1,34.0,0,0
65,24,4,1,0,-2.0,0,0
66,15,4,0,1,-18.0,0,0
67,15,4,0,1,-7.0,0,0
68,41,9,1,0,-20.0,0,0
69,11,2,1,0,18.0,0,0
70,23,5,1,0,-21.0,0,0
71,9,1,0,1,4.0,0,0
72,19,3,1,0,12.0,0,0
73,19,3,0,1,20.0,0,0
74,34,8,1,0,-4.0,0,0
75,6,3,0,1,-33.0,0,0
76,14,1,1,0,24.0,0,0
77,17,5,0,1,-29.0,0,0
78,41,9,1,0,24.0,0,0
79,12,2,1,0,28.0,0,0
80,20,5,1,0,-18.0,0,0
81,13,1,1,0,25.0,0,0
82,16,4,1,0,-5.0,0,0
83,10,5,0,1,-44.0,0,0
84,16,2,1,0,13.0,0,0
85,12,1,0,1,1.0,0,0
86,22,4,1,0,-11.0,50.24507546424866,0
87,19,1,1,0,19.0,86.26026046276093,0
88,15,1,1,0,34.0,107.97567230463028,0
89,26,2,1,0,58.0,141.93082183599472,0
90,16,6,0,1,-26.0,160.79461681842804,0
91,22,5,1,0,35.0,183.32943335175514,0
92,27,2,1,0,134.0,208.6779462993145,0
93,6,2,0,1,-24.0,214.26976016163826,0
94,11,0,1,0,47.0,223.8207876086235,0
95,41,14,0,1,-24.0,263.23176020383835,0
