episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,23,0,5,-237,0,1
0,0,0,0,0,0,0,0
1,30,4,1,0,69.0,0,0
2,6,1,0,1,-15.0,0,0
3,28,7,0,1,19.0,0,0
4,14,2,0,1,23.0,0,0
5,11,8,0,1,-61.0,0,0
6,31,5,1,0,26.0,0,0
7,12,1,1,0,37.0,0,0
8,18,1,1,0,31.0,0,0
9,17,1,1,0,32.0,0,0
10,16,3,1,0,4.0,0,0
11,6,1,0,1,-15.0,0,0
12,6,3,0,1,-33.0,0,0
13,12,2,0,1,14.0,0,0
14,6,3,0,1,-33.0,0,0
15,6,3,0,1,-33.0,0,0
16,9,5,0,1,-43.0,0,0
17,16,6,0,1,-37.0,0,0
18,11,2,0,1,4.0,0,0
19,12,1,1,0,26.0,0,0
20,21,6,1,0,-28.0,0,0
21,17,7,1,0,-33.0,0,0
22,16,3,1,0,4.0,0,0
23,32,9,0,1,19.0,0,0
24,43,7,1,0,84.0,0,0
25,19,5,1,0,-6.0,0,0
26,19,1,1,0,19.0,0,0
27,25,9,1,0,-59.0,0,0
28,47,7,0,1,77.0,0,0
29,28,6,1,0,-24.0,0,0
30,21,7,1,0,-37.0,0,0
31,17,3,1,0,3.0,0,0
32,20,2,0,1,28.0,0,0
33,19,4,1,0,3.0,0,0
34,7,2,0,1,-14.0,0,0
35,17,5,0,1,-29.0,0,0
36,21,5,1,0,-8.0,0,0
37,37,4,1,0,18.0,0,0
38,17,0,1,0,74.0,0,0
39,18,1,0,1,39.0,0,0
40,13,4,0,1,-27.0,0,0
41,6,0,0,1,-6.0,0,0
42,7,1,0,1,-5.0,0,0
43,12,1,0,1,12.0,0,0
44,12,2,0,1,3.0,0,0
45,21,6,0,1,13.0,0,0
46,29,5,1,0,28.0,0,0
47,25,2,1,0,4.0,0,0
48,11,1,1,0,38.0,0,0
49,51,17,0,1,-6.0,0,0
50,74,15,3,2,323,0,1
50,12,2,0,1,3.0,0,0
51,34,11,0,1,-23.0,0,0
52,6,5,0,1,-51.0,0,0
53,6,0,0,1,-6.0,0,0
54,15,3,1,0,5.0,0,0
55,16,5,0,1,-17.0,0,0
56,17,3,1,0,3.0,0,0
57,21,3,1,0,43.0,0,0
58,37,11,1,0,-1.0,0,0
59,30,8,1,0,-44.0,0,0
60,17,5,0,1,-7.0,0,0
61,24,7,0,1,-21.0,0,0
62,6,1,0,1,-15.0,0,0
