episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,62,0,5,0,520,0,1
0,0,0,0,0,0,0,0
1,16,1,0,1,19.0,0,0
2,8,1,0,1,-6.0,0,0
3,40,12,0,1,-27.0,0,0
4,6,0,0,1,-6.0,0,0
5,6,3,0,1,-33.0,0,0
6,10,3,0,1,7.0,0,0
7,21,6,0,1,-9.0,0,0
8,15,3,1,0,5.0,0,0
9,13,0,1,0,34.0,0,0
10,28,8,1,0,2.0,0,0
11,15,1,1,0,34.0,0,0
12,20,3,1,0,0.0,0,0
13,6,4,0,1,-42.0,0,0
14,22,5,1,0,-9.0,0,0
15,8,5,0,1,-31.0,0,0
16,6,1,0,1,-15.0,0,0
17,28,2,0,1,53.0,0,0
18,6,1,0,1,-15.0,0,0
19,13,2,1,0,27.0,0,0
20,20,5,0,1,-32.0,0,0
21,35,6,0,1,10.0,0,0
22,12,1,1,0,26.0,0,0
23,21,3,1,0,10.0,0,0
24,17,8,0,1,-34.0,0,0
25,15,3,0,1,-9.0,0,0
26,23,6,0,1,-22.0,0,0
27,27,5,1,0,19.0,0,0
28,6,3,0,1,-33.0,0,0
29,41,5,1,0,104.0,0,0
30,11,4,0,1,-36.0,0,0
31,15,3,1,0,5.0,0,0
32,11,4,0,1,-25.0,0,0
33,20,0,1,0,38.0,0,0
34,54,8,1,0,108.0,0,0
35,19,5,1,0,-17.0,0,0
36,35,7,1,0,37.0,0,0
37,13,2,0,1,-9.0,0,0
38,15,4,0,1,-7.0,0,0
39,8,4,0,1,-33.0,0,0
40,17,1,1,0,21.0,0,0
41,11,5,0,1,-34.0,0,0
42,49,10,1,0,40.0,0,0
43,8,2,0,1,-15.0,0,0
44,14,4,0,1,-17.0,0,0
45,20,2,1,0,20.0,0,0
46,20,6,0,1,-19.0,0,0
47,16,2,0,1,10.0,0,0
48,27,5,1,0,-25.0,0,0
49,21,3,1,0,-1.0,0,0
50,30,28,0,5,-265,0,1
50,20,4,0,1,-1.0,0,0
51,31,5,0,1,23.0,0,0
52,9,3,0,1,-25.0,0,0
53,24,9,1,0,-58.0,0,0
54,18,7,1,0,-23.0,0,0
55,12,0,1,0,35.0,0,0
56,6,3,0,1,-33.0,0,0
57,6,1,0,1,-15.0,0,0
58,7,5,0,1,-41.0,0,0
59,6,3,0,1,-33.0,0,0
60,17,4,0,1,-9.0,0,0
61,24,5,0,1,41.0,0,0
62,14,2,0,1,34.0,0,0
63,24,4,1,0,-2.0,0,0
64,15,4,0,1,-18.0,0,0
65,15,2,0,1,11.0,0,0
66,41,7,1,0,-2.0,0,0
67,11,2,1,0,18.0,0,0
68,23,5,1,0,-21.0,0,0
69,9,2,0,1,-5.0,0,0
70,19,1,1,0,30.0,0,0
71,19,5,0,1,2.0,0,0
72,34,8,1,0,-4.0,0,0
73,6,1,0,1,-15.0,0,0
74,14,1,1,0,24.0,0,0
75,17,5,0,1,-29.0,0,0
76,21,3,1,0,10.0,0,0
77,24,5,1,0,22.0,0,0
78,28,6,1,0,9.0,0,0
79,33,7,1,0,39.0,0,0
80,6,2,0,1,-24.0,0,0
81,17,3,1,0,14.0,0,0
82,11,2,0,1,-7.0,0,0
83,22,2,1,0,7.0,71.72642803192139,0
84,35,3,1,0,73.0,142.23295003175735,0
85,28,4,1,0,27.0,174.71204179525375,0
86,13,4,0,1,-16.0,184.05893296003342,0
87,14,3,1,0,6.0,196.25428926944733,0
88,16,2,1,0,57.0,211.10642582178116,0
89,12,0,1,0,46.0,221.39973086118698,0
90,13,2,0,1,24.0,232.50144797563553,0
91,10,0,1,0,37.0,239.46258321404457,0
92,17,3,1,0,14.0,249.8863663226366,0
93,20,4,1,0,-9.0,263.36623607575893,0
94,6,4,0,1,-42.0,268.5935655683279,0
