episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,62,0,5,0,520,0,1
0,0,0,0,0,0,0,0
1,16,2,0,1,32.0,0,0
2,8,1,0,1,-6.0,0,0
3,17,6,1,0,-24.0,0,0
4,23,4,0,1,7.0,0,0
5,6,0,0,1,-6.0,0,0
6,17,7,0,1,-25.0,0,0
7,15,1,1,0,23.0,0,0
8,6,3,0,1,-33.0,0,0
9,15,3,1,0,5.0,0,0
10,13,0,1,0,34.0,0,0
11,11,3,1,0,9.0,0,0
12,31,4,1,0,24.0,0,0
13,27,9,0,1,-20.0,0,0
14,17,2,1,0,12.0,0,0
15,13,7,0,1,-43.0,0,0
16,6,1,0,1,-15.0,0,0
17,29,5,0,1,58.0,0,0
18,32,5,1,0,14.0,0,0
19,6,2,0,1,-24.0,0,0
20,25,5,1,0,-23.0,0,0
21,10,2,0,1,-6.0,0,0
22,12,1,1,0,26.0,0,0
23,14,1,1,0,24.0,0,0
24,39,12,0,1,-37.0,0,0
25,17,3,1,0,3.0,0,0
26,39,8,0,1,65.0,0,0
27,29,5,1,0,72.0,0,0
28,45,7,1,0,71.0,0,0
29,25,3,1,0,6.0,0,0
30,40,4,1,0,103.0,0,0
31,16,2,1,0,13.0,0,0
32,36,11,1,0,-44.0,0,0
33,14,0,1,0,33.0,0,0
34,15,2,0,1,11.0,0,0
35,15,4,0,1,-7.0,0,0
36,8,4,0,1,-33.0,0,0
37,29,7,1,0,-1.0,0,0
38,22,3,1,0,42.0,0,0
39,23,7,1,0,-39.0,0,0
40,10,2,0,1,-6.0,0,0
41,15,4,0,1,-7.0,0,0
42,55,13,0,1,15.0,0,0
43,26,6,1,0,-33.0,0,0
44,41,7,0,1,39.0,0,0
45,31,4,0,1,43.0,0,0
46,9,3,0,1,-25.0,0,0
47,25,9,1,0,-48.0,0,0
48,17,6,1,0,-13.0,0,0
49,13,0,1,0,45.0,0,0
50,54,2,5,0,378,0,1
50,6,5,0,1,-51.0,0,0
51,12,5,0,1,-35.0,0,0
52,6,3,0,1,-33.0,0,0
53,17,4,0,1,-9.0,0,0
54,24,5,0,1,41.0,0,0
55,14,2,0,1,34.0,0,0
56,21,3,1,0,-1.0,0,0
57,18,6,0,1,-28.0,0,0
58,25,7,1,0,-41.0,0,0
59,21,1,1,0,28.0,0,0
60,27,4,1,0,28.0,0,0
61,20,2,1,0,20.0,0,0
62,45,5,0,1,86.0,0,0
63,38,10,1,1,-26.0,0,0
64,17,3,1,0,14.0,0,0
65,16,4,0,1,-19.0,0,0
66,20,3,1,0,11.0,0,0
67,24,5,1,0,22.0,0,0
68,11,1,1,0,27.0,0,0
69,21,4,1,0,1.0,0,0
70,14,2,1,0,15.0,0,0
71,15,5,1,0,-13.0,0,0
72,8,2,0,1,-15.0,0,0
73,14,2,1,0,15.0,0,0
74,13,2,0,1,-9.0,0,0
75,19,5,1,0,-6.0,53.60017514228821,0
76,28,1,1,0,65.0,103.30849969387054,0
77,26,5,1,0,20.0,135.37353509664536,0
78,18,5,1,0,-16.0,153.0885324627161,0
79,7,2,0,1,-14.0,161.18404169380665,0
80,22,5,1,0,24.0,189.64532001316547,0
81,8,0,1,0,39.0,196.90781666338444,0
82,23,3,1,0,52.0,221.90503008663654,0
83,10,1,1,0,28.0,231.2504042237997,0
84,13,4,0,1,-5.0,242.06711150705814,0
85,19,5,1,0,-6.0,258.28361351788044,0
86,13,5,0,1,-14.0,269.5800437480211,0
87,17,3,1,0,3.0,285.2452158778906,0
88,16,0,1,0,75.0,298.29363100230694,0
89,15,2,1,0,25.0,313.7009685486555,0
90,18,0,1,0,40.0,329.18716453015804,0
91,21,4,1,0,34.0,344.9040768891573,0
92,15,3,1,0,5.0,356.8467582911253,0
93,24,2,1,0,16.0,378.2915470302105,0
