,model_name,actions,x_pos,y_pos,q0,q1,q2
61,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,43,0,38.361267,-8.478415,7.360534
62,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,44,0,65.57541,29.921492,-4.321072
63,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,45,0,14.384449,0.8802607,9.608426
64,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,46,0,29.935152,-10.373871,-2.9235277
65,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,46,0,17.936543,3.6145194,22.689362
66,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,46,1,13.771007,28.642427,13.028256
67,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,46,2,7.541925,20.168522,19.830406
68,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,47,2,33.953568,-2.1592333,33.487865
69,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,47,2,14.360767,18.096207,13.45482
70,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,48,2,39.42511,2.2734756,16.069466
71,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,49,2,77.49976,-0.1897929,17.16902
72,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,50,2,21.480333,9.990578,-3.8578606
73,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,51,2,53.41229,5.6406875,10.283576
74,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,51,1,18.831501,-9.440664,19.048033
75,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,52,1,44.79585,6.461553,31.511381
76,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,52,0,37.761745,30.39612,39.620937
77,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,53,0,48.116848,-5.6861005,-6.2712007
78,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,54,0,17.426085,-0.061024927,13.479896
79,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,54,1,31.778942,33.17074,12.247624
80,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,54,2,17.302483,21.07253,0.80891746
81,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,55,2,39.663544,30.67285,1.5361556
82,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,56,2,33.658386,29.53939,11.568267
83,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,57,2,40.564693,8.9875765,-1.1735846
84,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,58,2,46.0669,-3.233661,-8.7371645
85,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,59,2,36.58642,23.574295,12.490472
86,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,59,1,14.190252,7.195637,19.584509
87,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,60,1,21.004738,9.809715,9.941895
88,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,61,1,24.801601,19.02279,2.295648
89,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,62,1,29.840857,2.3298633,-0.46423775
90,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,62,2,8.696011,24.217113,18.058588
91,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,63,2,37.94935,12.763966,33.431232
92,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,63,2,-12.422909,18.093258,17.896214
93,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,64,2,32.598766,17.472954,17.626766
94,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,64,1,15.412866,2.9902833,16.909937
95,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,65,1,26.765156,10.623169,18.421427
96,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,66,1,44.456306,10.942724,-9.908127
97,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,67,1,36.379704,7.781589,-3.2446418
98,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,67,2,15.865357,27.383972,12.814689
99,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,68,2,12.768415,6.5060334,6.7909126
100,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,69,2,19.78095,2.9770048,19.406832
101,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,70,2,16.540136,10.457633,6.3765388
102,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,71,2,36.540176,10.177158,7.340323
103,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,72,2,49.88668,-16.518396,13.204326
104,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,73,2,56.253864,4.8608637,22.319792
105,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,74,2,16.05064,0.6339227,7.069748
106,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,75,2,46.00739,42.52378,25.699383
107,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,76,2,34.33957,18.063404,9.571051
108,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,76,1,2.0139685,0.32638142,8.041223
109,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,77,1,49.009743,13.246847,6.9967175
110,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,77,2,22.23455,27.040262,14.996614
111,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,78,2,21.25041,9.729801,-1.5742041
112,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,78,1,14.232545,2.8056085,21.27724
113,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,79,1,28.872786,3.9935749,-1.8349773
114,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,79,2,-0.105798155,19.538763,14.850494
115,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,79,1,18.467682,5.0591254,30.457052
116,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,80,1,44.226086,9.850586,22.776045
117,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,81,1,24.314878,21.254433,14.960713
118,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,81,0,24.73808,13.443679,41.830013
119,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,82,0,38.417587,31.51887,16.455364
120,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,82,1,18.138763,26.652866,20.822388
121,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,83,1,68.3174,9.307035,-5.055766
122,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,84,1,16.33334,-4.5421667,10.351689
123,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,85,1,33.949535,5.8937907,-4.5357013
124,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,85,0,17.808853,1.6092982,21.31658
125,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,86,0,37.393402,-2.0115035,-4.9843264
126,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,86,0,11.149596,10.487361,15.349974
127,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,87,0,42.158966,3.717402,11.713165
128,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,88,0,28.531147,-6.0320773,22.479124
129,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,89,0,23.289137,0.63550067,3.5245295
130,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,90,0,39.785645,37.306137,6.343045
131,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,91,0,15.366843,14.51631,11.546391
132,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,91,0,13.794021,16.889116,32.09836
133,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,92,0,15.264439,8.521714,-4.9387145
134,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,92,0,6.1193557,9.824167,14.718097
135,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,93,0,30.567183,13.993792,-12.01916
136,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,94,0,30.69789,5.1687913,20.482645
137,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,95,0,62.867405,10.423622,12.686764
138,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,96,0,26.023788,-4.100842,25.370245
139,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,96,1,20.90641,29.725487,13.850764
140,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,96,0,11.155071,14.7375,25.452328
141,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,96,0,5.5781946,14.895287,22.269384
142,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,97,0,50.414764,8.569026,28.68007
143,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,98,0,39.11519,19.364082,11.96863
144,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,98,1,26.96848,37.61674,14.335589
145,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,99,1,57.748833,27.816061,-1.5098935
146,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,99,0,17.221794,10.961822,18.403532
147,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,100,0,28.323774,1.557914,7.4758797
148,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,100,1,33.464394,44.922916,-7.079132
149,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,100,2,30.198046,39.8506,27.208872
150,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,100,1,24.418917,7.4218493,35.88968
151,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,100,0,28.748638,24.058352,29.804863
152,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,101,0,35.33751,25.027214,2.6708198
153,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,102,0,39.56092,22.055943,24.49233
154,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,103,0,40.58641,17.18376,8.243885
155,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,103,0,13.759918,9.222265,23.25099
156,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,104,0,21.87585,4.3729277,11.096774
157,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,105,0,43.170647,8.8516865,26.813154
158,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,106,0,57.470497,6.889453,24.150621
159,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,107,0,43.87854,23.131817,11.149949
160,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,108,0,47.62518,12.948433,41.048035
161,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,109,0,23.510498,13.835421,-6.577008
162,exp0-nov2023_comp_plain-seed_2-mode_no-vision,2,109,0,14.80769,14.4360285,33.54707
163,exp0-nov2023_comp_plain-seed_2-mode_no-vision,1,109,1,22.905334,32.79086,18.845491
164,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,110,1,28.18424,23.67262,13.562999
165,exp0-nov2023_comp_plain-seed_2-mode_no-vision,0,111,1,47.343704,29.524622,-4.269631
