,model_name,actions,x_pos,y_pos,q0,q1,q2
447,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,382,1,40.0635,28.12032,26.26389
448,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,383,1,39.109898,20.90981,20.438532
449,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,384,1,29.50891,29.365597,-6.152464
450,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,385,1,33.40284,22.88242,28.64671
451,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,386,1,34.668854,29.998425,22.424244
452,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,386,0,-21.120283,26.538368,31.077911
453,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,387,0,35.711487,16.557178,13.468097
454,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,388,0,30.827002,-3.05594,-0.06888549
455,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,389,0,28.383423,22.719543,2.0029883
456,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,389,1,25.318666,29.620274,4.0987053
457,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,390,1,43.00755,18.61132,14.137961
458,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,391,1,42.845413,28.988834,16.32656
459,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,392,1,35.973274,-10.752065,-0.7707123
460,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,393,1,39.472332,23.635704,30.582684
461,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,394,1,34.735374,18.104294,18.97657
462,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,395,1,36.33589,24.835056,22.720495
463,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,396,1,35.910015,23.39872,-3.3405943
464,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,397,1,38.481346,18.816849,27.11441
465,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,398,1,38.437805,8.877756,37.271774
466,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,398,0,34.54698,23.149914,36.350426
467,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,399,0,41.954666,15.497231,21.842688
468,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,400,0,36.714867,20.455624,12.3563
469,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,401,0,43.531982,19.903013,7.537302
470,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,402,0,37.100304,25.792404,13.5000925
471,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,403,0,42.290062,23.58892,21.693085
472,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,404,0,27.054506,2.422607,3.772681
473,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,404,1,25.97681,28.70443,13.288449
474,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,405,1,40.511497,21.971777,23.84053
475,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,406,1,41.534676,31.758558,22.926376
476,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,407,1,41.874523,28.578331,17.98426
477,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,408,1,38.61185,23.356752,-12.758172
478,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,409,1,41.172756,24.620443,19.478035
479,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,410,1,39.882828,30.171537,14.635351
480,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,411,1,37.079266,31.629244,14.515021
481,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,412,1,31.061579,23.435154,-10.316962
482,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,413,1,30.059984,18.538082,24.13908
483,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,414,1,30.038233,11.209968,27.681484
484,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,414,0,-6.170556,15.090345,30.87355
485,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,415,0,45.052013,19.289438,10.627837
486,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,416,0,28.471048,-13.324759,8.443309
487,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,416,1,29.662132,31.631811,3.2251954
488,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,417,1,41.737213,26.090366,24.4991
489,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,418,1,35.403244,25.33283,20.739727
