participant,index,condition_1,condition_2,model_type,resolution,rating,trial_duration,n_collisions,standardized_rating,standardized_trial_duration,standardized_n_collisions
HC04,40,CE2,complex,Canny,324.0,3.5,44.015,3.0,-0.6301260378126045,2.016367899451974,1.4656937060028037
HC05,41,CE2,complex,Canny,324.0,5.0,41.8,1.0,-0.44182136138386613,0.8918656428827696,0.1573662954491724
HC06,42,CE2,complex,Canny,324.0,3.5,49.64,0.5,-0.9893099855913757,1.5964352552660903,-0.2108740281372885
HC07,43,CE2,complex,Canny,324.0,2.0,33.150000000000006,4.0,-1.0827734242517864,1.0556437235540364,1.3388775415827638
HC08,44,CE2,complex,Canny,324.0,4.5,43.075,3.5,-0.5375082272297073,1.3377233115257599,1.8429016630761568
HC09,45,CE2,complex,Canny,324.0,3.5,30.71,2.5,-1.367899124236602,0.6957035423411694,1.0135858276593792
HC11,46,CE2,complex,Canny,324.0,5.0,31.905,5.0,-0.6989410452272491,1.127477028249225,2.317762673252766
HC12,47,CE2,complex,Canny,324.0,3.5,59.34,1.5,-1.1491963165243106,1.1341530017971253,0.11676634983483974
HC13,48,CE2,complex,Canny,324.0,4.0,29.25,3.5,-1.1973018608653985,2.1015243949605513,2.3113115361086987
HC14,49,CE2,complex,Canny,324.0,3.0,37.400000000000006,4.5,-1.4240802122909284,1.6408751745462185,2.3964916584264513
HC15,50,CE2,complex,Canny,324.0,6.5,69.975,2.5,-1.106007036940545,1.180293125830456,1.052720753457284
HC16,51,CE2,complex,Canny,324.0,4.0,40.230000000000004,3.0,-0.7656608911954944,1.2452422539739052,1.4878190921969148
HC17,52,CE2,complex,Canny,324.0,4.5,47.425,4.0,-1.0978875820671,1.3805021197513905,2.548253403090129
HC18,53,CE2,complex,Canny,324.0,5.0,41.135000000000005,1.0,-0.674973001619892,1.154801431836673,0.4576802394564111
HC19,54,CE2,complex,Canny,324.0,3.5,40.195,2.5,-0.499312714451762,0.7999663235492658,0.672544690411724
HC20,55,CE2,complex,Canny,324.0,2.0,49.345,2.5,-1.3965750552512803,1.5033954686281958,1.5145694133965062
HC21,56,CE2,complex,Canny,324.0,4.0,77.9,2.0,-1.266922699830669,1.609526737212631,0.753086886484412
HC22,57,CE2,complex,Canny,324.0,3.0,28.235,2.5,-1.3645116698894288,0.6447555459275812,1.3163698835546453
HC23,58,CE2,complex,Canny,324.0,4.0,42.905,2.0,-0.9374446232906573,0.8049283209521899,0.4402286787185006
HC24,59,CE2,complex,Canny,324.0,3.5,50.980000000000004,0.5,-0.7256418590044614,0.8674018234141206,0.03982831174232289
HC04,60,CE2,simple,Canny,324.0,3.0,32.92,0.5,-0.8401680504168059,0.08486763228861177,-0.2843883310154694
HC05,61,CE2,simple,Canny,324.0,5.0,32.22,0.5,-0.44182136138386613,0.08252832868543983,-0.20232809414893596
HC06,62,CE2,simple,Canny,324.0,4.0,37.78,1.0,-0.7457875275996525,0.4069209564959192,0.09585183097149477
HC07,63,CE2,simple,Canny,324.0,2.5,31.244999999999997,1.0,-0.8387681455471584,0.7859595336795316,-0.15568343506776325
HC08,64,CE2,simple,Canny,324.0,4.0,39.42,2.0,-0.8446557856466829,0.9642923159745335,0.6311307065329304
HC09,65,CE2,simple,Canny,324.0,5.0,29.665,1.0,-0.7178084513320783,0.5610174631662216,0.020685425054273048
HC11,66,CE2,simple,Canny,324.0,5.0,31.32,1.0,-0.6989410452272491,1.0278387807449738,-0.2846375212766555
HC12,67,CE2,simple,Canny,324.0,5.0,50.150000000000006,2.0,-0.38306543884143684,0.36013588739156854,0.49041866930632694
HC13,68,CE2,simple,Canny,324.0,6.0,18.759999999999998,0.0,-0.07042952122737638,-0.055915536840653535,-0.8456017815031824
HC14,69,CE2,simple,Canny,324.0,5.5,27.085,2.0,-0.3692059809643148,0.31823762237475145,0.6213126521846355
HC15,70,CE2,simple,Canny,324.0,7.0,51.195,0.0,-0.39816253329859624,0.2572545977556681,-0.47850943338967455
HC16,71,CE2,simple,Canny,324.0,4.5,30.340000000000003,0.5,-0.4156444837918398,-0.006287704226296188,-0.43194747837974945
HC17,72,CE2,simple,Canny,324.0,7.0,33.125,0.5,-0.013554167679840738,-0.005451741587434051,-0.33461913373910784
HC18,73,CE2,simple,Canny,324.0,5.5,37.175,0.0,-0.3149874007559496,0.6167800433946591,-0.5187042713839326
HC19,74,CE2,simple,Canny,324.0,3.0,38.97,1.5,-0.8624492340530434,0.5864386108764394,0.03956145237716024
HC20,75,CE2,simple,Canny,324.0,4.5,35.18,0.0,-0.2680295560583265,0.004035516989497117,-0.8612257448725231
