episode,step_count,wall_collisions,box_collisions,endless_loops,reward,epsilon,train_loss,validation
0,25,25,0,5,-255.0,0,0,1
0,0,0,0,0,0,0.943475,0,0
1,12,3,0,1,163.0,0.95,0,0
2,6,3,0,1,-33.0,0.95,0,0
3,27,3,1,0,937.0,0.95,0,0
4,44,11,0,1,1473.0,0.95,0,0
5,17,3,1,0,543.0,0.95,0,0
6,42,17,0,1,815.0,0.95,0,0
7,16,2,1,0,553.0,0.95,0,0
8,18,5,1,0,524.0,0.95,0,0
9,17,7,0,1,223.0,0.95,0,0
10,13,6,0,1,236.0,0.95,0,0
11,13,1,1,0,666.0,0.95,0,0
12,18,7,0,1,323.0,0.95,0,0
13,6,2,0,1,-24.0,0.95,0,0
14,6,5,0,1,-51.0,0.95,0,0
15,17,3,0,1,259.0,0.95,0,0
16,8,2,0,1,75.0,0.95,0,0
17,12,2,0,1,273.0,0.95,0,0
18,15,3,1,0,545.0,0.95,0,0
19,8,2,0,1,75.0,0.95,0,0
20,18,2,1,0,652.0,0.95,0,0
21,7,3,0,1,67.0,0.95,0,0
22,14,2,0,1,372.0,0.95,0,0
23,31,6,0,1,521.0,0.95,0,0
24,36,8,1,0,883.0,0.95,0,0
25,6,3,0,1,-33.0,0.95,0,0
26,24,5,0,1,739.0,0.95,0,0
27,6,3,0,1,-33.0,0.95,0,0
28,11,2,0,1,173.0,0.95,0,0
29,33,9,0,1,896.0,0.95,0,0
30,24,5,0,1,537.0,0.95,0,0
31,13,2,1,0,657.0,0.95,0,0
32,11,1,0,1,81.0,0.95,0,0
33,14,0,0,1,289.0,0.95,0,0
34,6,3,0,1,-33.0,0.95,0,0
35,19,2,1,0,550.0,0.95,0,0
36,13,4,0,1,153.0,0.95,0,0
37,20,3,0,1,458.0,0.95,0,0
38,10,2,0,1,174.0,0.95,0,0
39,6,1,0,1,-15.0,0.95,0,0
40,9,2,0,1,175.0,0.95,0,0
41,9,3,0,1,267.0,0.95,0,0
42,19,5,1,0,523.0,0.95,0,0
43,24,5,0,1,941.0,0.95,0,0
44,8,1,0,1,185.0,0.95,0,0
45,18,5,0,1,341.0,0.95,0,0
46,16,6,0,1,233.0,0.95,0,0
47,18,1,1,0,661.0,0.95,0,0
48,23,10,1,1,575.0,0.95,0,0
49,6,1,0,1,-15.0,0.95,0,0
50,25,25,0,5,-255.0,0,0,1
50,15,4,0,1,353.0,0.943475,0,0
51,12,3,0,1,163.0,0.95,0,0
52,8,1,0,1,84.0,0.95,0,0
53,6,1,0,1,-15.0,0.95,0,0
54,16,4,0,1,251.0,0.95,0,0
55,18,6,0,1,231.0,0.95,0,0
56,18,4,0,1,451.0,0.95,0,0
57,41,10,0,1,879.0,0.95,0,0
58,31,12,1,0,953.0,0.95,0,0
